what,kind,bundleId,bundleVersion,description,time
closed,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1383761703946
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1383761705623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761718996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761722699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761762079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761763916
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1383761770022
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1383761774123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761778950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761791232
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1383761791705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1383761806113
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1383761807383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1383761809959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383761810489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761814722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761916083
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1383761918691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761925769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761934309
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383761934449
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383761934490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383761937476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761937948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761942961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383761949191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383761951396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761953624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761955737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383761958939
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1383761962860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383761963193
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1383761964856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383761965392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761966925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761970754
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1383761978030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761982805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761989608
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383761989756
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383761989785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383761996086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383762008886
